iter	Accuracy	Logloss
0	0.6515151515	0.674402028
1	0.7373737374	0.6542828892
2	0.7651515152	0.641665768
3	0.8005050505	0.6189600292
4	0.8409090909	0.599861671
5	0.851010101	0.5817921884
6	0.8611111111	0.5712357586
7	0.8712121212	0.5531549499
8	0.8863636364	0.5417906446
9	0.8863636364	0.5336243497
10	0.9090909091	0.5180095225
11	0.9217171717	0.5020619658
12	0.9217171717	0.4915804906
13	0.9419191919	0.4715830136
14	0.946969697	0.4543528636
15	0.9570707071	0.4453511121
16	0.9646464646	0.4372768015
17	0.9621212121	0.4311978988
18	0.9621212121	0.4149891691
19	0.9646464646	0.4101432317
20	0.9722222222	0.4031301336
21	0.9772727273	0.390925503
22	0.9772727273	0.3802353538
23	0.9797979798	0.3695137924
24	0.9797979798	0.3616235674
25	0.9823232323	0.3554871745
26	0.9797979798	0.3507860893
27	0.9823232323	0.3405935622
28	0.9823232323	0.335886648
29	0.9848484848	0.3265701087
30	0.9848484848	0.3180595611
31	0.9873737374	0.3137634618
32	0.9873737374	0.3074739226
33	0.9873737374	0.3039350187
34	0.9898989899	0.2962481448
35	0.9898989899	0.2909559473
36	0.9898989899	0.2868360626
37	0.9898989899	0.2816205059
38	0.9898989899	0.276661962
39	0.9898989899	0.2730894319
40	0.9898989899	0.2673338952
41	0.9898989899	0.2629201393
42	0.9924242424	0.2565226721
43	0.9898989899	0.2495770467
44	0.9924242424	0.2434553131
45	0.9924242424	0.2391987152
46	0.9949494949	0.234873584
47	0.9949494949	0.2303128679
48	0.9949494949	0.2275258384
49	0.9924242424	0.2244723169
50	0.9949494949	0.222285206
51	0.9949494949	0.2170501481
52	0.9974747475	0.2137402484
53	0.9974747475	0.2111512937
54	0.9974747475	0.2050240172
55	0.9974747475	0.2014602168
56	0.9974747475	0.1994034875
57	0.9974747475	0.1948335387
58	0.9974747475	0.1917266751
59	0.9974747475	0.1884919174
60	1	0.1839626365
61	1	0.1818983656
62	1	0.1793393272
63	1	0.1767846476
64	1	0.1711669513
65	1	0.1693437117
66	1	0.1668716624
67	1	0.1639936828
68	1	0.1618325531
69	1	0.1605289996
70	1	0.1564850201
71	1	0.152429172
72	1	0.1505907703
73	1	0.1486541508
74	1	0.1458243882
75	1	0.1440590959
76	1	0.1416140738
77	1	0.1393073767
78	1	0.1354385219
79	1	0.1347437599
80	1	0.1317669603
81	1	0.1294334153
82	1	0.1265210054
83	1	0.1249852119
84	1	0.1230670593
85	1	0.1198985225
86	1	0.1170980348
87	1	0.1145926192
88	1	0.1133419874
89	1	0.1117113688
90	1	0.1094500237
91	1	0.107821903
92	1	0.1062922582
93	1	0.1046014778
94	1	0.1028801559
95	1	0.1008581204
96	1	0.0988575511
97	1	0.09751691648
98	1	0.09579571438
99	1	0.09372379841
100	1	0.09206446489
101	1	0.09061964607
102	1	0.08909449545
103	1	0.08766866497
104	1	0.0859214453
105	1	0.08488943871
106	1	0.08346216232
107	1	0.08299927419
108	1	0.08147420359
109	1	0.0803780914
110	1	0.07880084428
111	1	0.07731891166
112	1	0.07631830659
113	1	0.07531631426
114	1	0.07426782087
115	1	0.07289435618
116	1	0.07152281124
117	1	0.07021183958
118	1	0.0691004225
119	1	0.0682536999
120	1	0.06726926137
121	1	0.0663308189
122	1	0.06539214563
123	1	0.064713587
124	1	0.06386594586
125	1	0.06313315389
126	1	0.06203014489
127	1	0.06083288716
