,isolation_forest,local_outlier_factor,one_class_svm,pca_recon_error
ADANIPORTS.NS,,,,
ASIANPAINT.NS,,,,
AXISBANK.NS,,,,
BAJAJ-AUTO.NS,,,,
BAJFINANCE.NS,,,,
BAJAJFINSV.NS,,,,
BPCL.NS,,,,
BHARTIARTL.NS,,,,
BRITANNIA.NS,,,,
CIPLA.NS,,,,
COALINDIA.NS,,,,
DIVISLAB.NS,,,,
DRREDDY.NS,,,,
EICHERMOT.NS,,,,
GRASIM.NS,,,,
HCLTECH.NS,,,,
HDFC.NS,,,,
HDFCBANK.NS,0.3051145384335795,5.435555727566202,0.24227904359537122,7.888609052210118e-31
HDFCLIFE.NS,,,,
HEROMOTOCO.NS,,,,
HINDALCO.NS,,,,
HINDUNILVR.NS,,,,
ICICIBANK.NS,,,,
INDUSINDBK.NS,,,,
INFY.NS,,,,
IOC.NS,,,,
ITC.NS,,,,
JSWSTEEL.NS,,,,
KOTAKBANK.NS,,,,
LT.NS,,,,
M&M.NS,,,,
MARUTI.NS,,,,
NESTLEIND.NS,,,,
NTPC.NS,,,,
ONGC.NS,,,,
POWERGRID.NS,,,,
RELIANCE.NS,0.25655735157219395,3.7893851522648503,0.4544507966609117,4.930380657631324e-31
SBILIFE.NS,,,,
SBIN.NS,,,,
SHREECEM.NS,,,,
SUNPHARMA.NS,,,,
TATASTEEL.NS,,,,
TATACONSUM.NS,,,,
TATAMOTORS.NS,,,,
TITAN.NS,,,,
ULTRACEMCO.NS,,,,
UPL.NS,,,,
WIPRO.NS,,,,
TECHM.NS,,,,
TCS.NS,0.32519323927281896,4.724297498887472,0.3218042424437024,4.005934284325451e-31
