,isolation_forest,local_outlier_factor,one_class_svm,pca_recon_error,rows,last_ts,last_close
ADANIPORTS.NS,,,,,0,,
ASIANPAINT.NS,,,,,0,,
AXISBANK.NS,,,,,0,,
BAJAJ-AUTO.NS,,,,,0,,
BAJFINANCE.NS,,,,,0,,
BAJAJFINSV.NS,,,,,0,,
BPCL.NS,,,,,0,,
BHARTIARTL.NS,,,,,0,,
BRITANNIA.NS,,,,,0,,
CIPLA.NS,,,,,0,,
COALINDIA.NS,,,,,0,,
DIVISLAB.NS,,,,,0,,
DRREDDY.NS,,,,,0,,
EICHERMOT.NS,,,,,0,,
GRASIM.NS,,,,,0,,
HCLTECH.NS,,,,,0,,
HDFC.NS,,,,,0,,
HDFCBANK.NS,0.3051145384335795,5.435555727566202,0.24227904359537122,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,1988.300048828125
HDFCLIFE.NS,,,,,0,,
HEROMOTOCO.NS,,,,,0,,
HINDALCO.NS,,,,,0,,
HINDUNILVR.NS,,,,,0,,
ICICIBANK.NS,,,,,0,,
INDUSINDBK.NS,,,,,0,,
INFY.NS,,,,,0,,
IOC.NS,,,,,0,,
ITC.NS,,,,,0,,
JSWSTEEL.NS,,,,,0,,
KOTAKBANK.NS,,,,,0,,
LT.NS,,,,,0,,
M&M.NS,,,,,0,,
MARUTI.NS,,,,,0,,
NESTLEIND.NS,,,,,0,,
NTPC.NS,,,,,0,,
ONGC.NS,,,,,0,,
POWERGRID.NS,,,,,0,,
RELIANCE.NS,0.25655735157219395,3.7893851522648503,0.4544507966609117,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,1411.300048828125
SBILIFE.NS,,,,,0,,
SBIN.NS,,,,,0,,
SHREECEM.NS,,,,,0,,
SUNPHARMA.NS,,,,,0,,
TATASTEEL.NS,,,,,0,,
TATACONSUM.NS,,,,,0,,
TATAMOTORS.NS,,,,,0,,
TITAN.NS,,,,,0,,
ULTRACEMCO.NS,,,,,0,,
UPL.NS,,,,,0,,
WIPRO.NS,,,,,0,,
TECHM.NS,,,,,0,,
TCS.NS,0.32519323927281896,4.724297498887472,0.3218042424437024,4.005934284325451e-31,210,2025-08-20 09:45:00+00:00,3094.800048828125
